Pick,Name,Name_Korean,Image,Price_tax,Category,Store
No,なめらかカスタードのプチエクレア　6個,,https://www.lawson.co.jp/recommend/original/detail/img/l721570.jpg,300,디저트,LAWSON
Yes,いなり　3個入,유부초밥,https://www.lawson.co.jp/recommend/original/detail/img/l727527.jpg,246,스시,LAWSON
No,千切りキャベツ,,https://www.lawson.co.jp/recommend/original/detail/img/l557346_4.jpg,108,야채/과일,LAWSON
No,4種のデラックスミックスナッツ　86g,,https://www.lawson.co.jp/recommend/original/detail/img/l694084.jpg,450,과자,LAWSON
No,相模屋食料　きぬ豆腐　150g×3,,https://www.lawson.co.jp/recommend/original/detail/img/l693037_2.jpg,98,수산물,LAWSON
No,国産ごぼうのサラダ,,https://www.lawson.co.jp/recommend/original/detail/img/l532954_4.jpg,149,샐러드2,LAWSON
No,ウチカフェ　ひとくちピスタチオ　9ml×6コ,,https://www.lawson.co.jp/recommend/original/detail/img/l533743.jpg,214,빙과류,LAWSON
No,福神漬,,https://www.lawson.co.jp/recommend/original/detail/img/l564610_3.jpg,117,절임,LAWSON
No,ジューシーハムサンド,,https://www.lawson.co.jp/recommend/original/detail/img/l721138.jpg,322,샌드위치/롤,LAWSON
No,サムギョプサル,,https://www.lawson.co.jp/recommend/original/detail/img/l692777.jpg,397,냉동식품,LAWSON
No,食べマス　シナモロール　2023,,https://www.lawson.co.jp/recommend/original/detail/img/l722382.jpg,285,디저트,LAWSON
No,ピザロール　全粒粉入り！ハムとモッツァレラとゴーダチーズ,,https://www.lawson.co.jp/recommend/original/detail/img/l667347.jpg,279,샌드위치/롤,LAWSON
No,海苔とお麩のおみそ汁,,https://www.lawson.co.jp/recommend/original/detail/img/l687854.jpg,108,즉석식품,LAWSON
No,マチのデリ　海老といかの明太子サラダ,,https://www.lawson.co.jp/recommend/original/detail/img/l692103.jpg,333,샐러드,LAWSON
No,Frozen Party　茶師十段関谷祥嗣監修茶葉使用　ほうじ茶ラテ　133g,,https://www.lawson.co.jp/recommend/original/detail/img/l686591.jpg,279,빙과류,LAWSON
No,チーズタルト,,https://www.lawson.co.jp/recommend/original/detail/img/l643695_3.jpg,441,냉동식품,LAWSON
No,ピザロール　もちもちWウインナー＆チリビーンズ,,https://www.lawson.co.jp/recommend/original/detail/img/l689526.jpg,279,샌드위치/롤,LAWSON
No,ザク！サク！クランチチョコ　54g,,https://www.lawson.co.jp/recommend/original/detail/img/l654824_3.jpg,108,과자,LAWSON
No,切り干し大根　2連,,https://www.lawson.co.jp/recommend/original/detail/img/l588289_4.jpg,225,반찬,LAWSON
No,ウチカフェ　カフェオレ　グランデ　360ml,,https://www.lawson.co.jp/recommend/original/detail/img/l726415.jpg,228,냉장음료,LAWSON
No,カルシウム・鉄分1/3日分がとれる※2　ZEROココアビスケット　35g,,https://www.lawson.co.jp/recommend/original/detail/img/l693398.jpg,215,내추럴로손과자,LAWSON
No,シーザードレッシング　25ml,,https://www.lawson.co.jp/recommend/original/detail/img/l531818.jpg,30,샐러드,LAWSON
No,ハバネロビアスティック　33g,,https://www.lawson.co.jp/recommend/original/detail/img/l589529_4.jpg,255,과자,LAWSON
No,玉ねぎサラダ,,https://www.lawson.co.jp/recommend/original/detail/img/l611370_3.jpg,153,야채/과일,LAWSON
No,2種のチョコレートバー　252ml,,https://www.lawson.co.jp/recommend/original/detail/img/l655813_3.jpg,257,아이스크림,LAWSON
No,あさり入りスンドゥブの素　中辛　200g,,https://www.lawson.co.jp/recommend/original/detail/img/l687860.jpg,138,조미료,LAWSON
